secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.49,-0.019067,0.001295,0.006151,0.207939,-0.150413,-0.966508,-0.006706,0.002509,0.005906,0.991591,0.075786,0.104893,0.000544,12.0,2.0,16.0,45DBP,33
0.5,-0.01626,-0.003273,0.006319,0.207589,-0.152141,-0.966312,-0.008569,0.000484,0.002445,0.991542,0.076646,0.104734,0.000699,12.0,2.0,16.0,45DBP,33
0.51,-0.018273,0.000713,0.010578,0.207255,-0.153819,-0.966119,-0.004527,0.002223,0.003197,0.991493,0.077479,0.104583,0.000852,12.0,2.0,16.0,45DBP,33
0.52,-0.028348,0.004937,0.009316,0.207497,-0.15417,-0.966011,0.001472,-0.001043,0.007347,0.991466,0.07765,0.104715,0.000929,12.0,2.0,16.0,45DBP,33
0.53,-0.032068,0.01144,-0.01161,0.2073,-0.154011,-0.966078,-0.001154,-0.008022,0.009703,0.991483,0.077565,0.104616,0.000968,12.0,2.0,16.0,45DBP,33
0.54,-0.050688,-0.001172,-0.027753,0.206725,-0.153945,-0.966212,-0.007857,-0.022141,0.008509,0.991516,0.077534,0.104319,0.000926,12.0,2.0,16.0,45DBP,33
0.55,-0.049716,-0.002363,-0.002856,0.206525,-0.15342,-0.966338,-0.012601,-0.021705,0.007735,0.991548,0.077271,0.104212,0.000886,12.0,2.0,16.0,45DBP,33
0.56,0.004887,-0.00155,0.018728,0.2065,-0.15278,-0.966445,0.011929,0.005578,0.012694,0.991575,0.076942,0.104199,0.000921,12.0,2.0,16.0,45DBP,33
0.57,0.025877,-0.003722,0.029718,0.206191,-0.152759,-0.966514,0.021775,0.016635,0.011223,0.991593,0.076919,0.10405,0.001033,12.0,2.0,16.0,45DBP,33
0.58,0.006651,-0.00918,0.027846,0.205696,-0.152952,-0.966589,0.003197,-0.003542,0.009772,0.991611,0.076999,0.10381,0.001187,12.0,2.0,16.0,45DBP,33
0.59,-0.032899,-0.016036,0.034093,0.205407,-0.152843,-0.966668,-0.005487,-0.017842,0.009759,0.991631,0.076926,0.103675,0.001346,12.0,2.0,16.0,45DBP,33
0.6,-0.069189,-0.020036,0.039414,0.205451,-0.152611,-0.966695,-0.000724,-0.020958,0.013723,0.991638,0.076787,0.103712,0.001547,12.0,2.0,16.0,45DBP,33
0.61,-0.095121,-0.021888,0.058983,0.205321,-0.152507,-0.966739,0.004899,-0.017231,0.013675,0.991648,0.076703,0.103668,0.001845,12.0,2.0,16.0,45DBP,33
0.62,-0.126285,-0.02484,0.066844,0.204741,-0.152855,-0.966807,0.003861,-0.007713,0.017726,0.991664,0.076832,0.103408,0.002283,12.0,2.0,16.0,45DBP,33
0.63,-0.148703,-0.016159,0.072415,0.20396,-0.152816,-0.966979,0.005528,0.001861,0.024062,0.991706,0.076759,0.103048,0.002776,12.0,2.0,16.0,45DBP,33
0.64,-0.169667,-0.020601,0.079695,0.204452,-0.15129,-0.967115,0.003587,-0.001038,0.030851,0.991739,0.075943,0.103322,0.003188,12.0,2.0,16.0,45DBP,33
0.65,-0.229921,-0.023891,0.052117,0.205104,-0.149073,-0.967321,0.006749,0.003428,0.038183,0.99179,0.074779,0.103671,0.003581,12.0,2.0,16.0,45DBP,33
0.66,-0.299332,-0.067896,-0.065966,0.204826,-0.14677,-0.967732,0.036263,-0.009892,0.041737,0.991894,0.073609,0.103517,0.003598,12.0,2.0,16.0,45DBP,33
0.67,-0.342836,-0.054994,0.032871,0.20417,-0.144211,-0.968255,0.039498,-0.016052,0.049798,0.992025,0.072306,0.103172,0.003648,12.0,2.0,16.0,45DBP,33
0.68,-0.333385,-0.047799,0.149327,0.203625,-0.141807,-0.968725,-0.000439,0.007087,0.05332,0.992141,0.071019,0.102927,0.004303,12.0,2.0,16.0,45DBP,33
0.69,-0.369767,-0.048179,0.178102,0.203082,-0.1393,-0.969202,-0.003497,-4.3e-05,0.055567,0.992256,0.069643,0.102707,0.005324,12.0,2.0,16.0,45DBP,33
0.7,-0.465063,-0.055294,0.148611,0.202477,-0.135948,-0.969805,0.011115,-0.024865,0.063143,0.992402,0.067839,0.102448,0.006348,12.0,2.0,16.0,45DBP,33
0.71,-0.592007,-0.06915,0.122464,0.201839,-0.13132,-0.970575,0.027623,-0.056454,0.064554,0.99259,0.065401,0.102153,0.007283,12.0,2.0,16.0,45DBP,33
0.72,-0.688012,-0.069454,0.100248,0.201157,-0.125582,-0.971476,0.035674,-0.076078,0.064432,0.99281,0.062409,0.10182,0.008156,12.0,2.0,16.0,45DBP,33
0.73,-0.735548,-0.066731,0.080698,0.200381,-0.118818,-0.972486,0.033735,-0.080111,0.069517,0.993057,0.058911,0.101421,0.008941,12.0,2.0,16.0,45DBP,33
0.74,-0.788611,-0.079876,0.061697,0.199614,-0.111549,-0.973505,0.047319,-0.087593,0.071588,0.993307,0.055168,0.101016,0.009658,12.0,2.0,16.0,45DBP,33
0.75,-0.853715,-0.125603,0.049154,0.198557,-0.103627,-0.974596,0.081533,-0.10107,0.081194,0.993575,0.051105,0.100451,0.01032,12.0,2.0,16.0,45DBP,33
0.76,-0.894452,-0.070199,0.041979,0.197475,-0.095156,-0.975679,0.106663,-0.106001,0.095079,0.993841,0.046772,0.099865,0.010955,12.0,2.0,16.0,45DBP,33
0.77,-1.435746,-0.189795,1.574394,0.196411,-0.086,-0.976743,0.116135,-0.134581,0.126813,0.994064,0.041815,0.099399,0.014422,12.0,2.0,16.0,45DBP,33
0.78,-1.741023,-0.430726,1.876483,0.191175,-0.073278,-0.978817,0.582919,-0.419901,0.188564,0.994394,0.034479,0.096968,0.024272,12.0,2.0,16.0,45DBP,33
0.79,-1.8137,-0.450527,1.298916,0.185352,-0.059219,-0.980886,0.267102,-0.21608,0.168279,0.994662,0.026646,0.094058,0.033021,12.0,2.0,16.0,45DBP,33
0.8,-1.986589,-0.436733,1.166357,0.180339,-0.042448,-0.982688,0.158314,-0.071275,0.207145,0.994855,0.017652,0.091348,0.040098,12.0,2.0,16.0,45DBP,33
0.81,-1.774607,-0.433193,1.051484,0.175504,-0.025838,-0.98414,0.140475,-0.042873,0.171518,0.994947,0.008855,0.08861,0.046368,12.0,2.0,16.0,45DBP,33
0.82,-1.619418,-0.364956,1.244673,0.171326,-0.011103,-0.985152,0.097885,0.017725,0.15634,0.994884,0.001013,0.086157,0.052736,12.0,2.0,16.0,45DBP,33
0.83,-1.554961,-0.314545,1.494538,0.167978,0.00215,-0.985788,0.165701,0.005479,0.147104,0.994618,-0.006173,0.08407,0.060243,12.0,2.0,16.0,45DBP,33
0.84,-1.619253,-0.344548,1.609982,0.16494,0.015193,-0.986187,0.254783,-0.030909,0.127651,0.994172,-0.013307,0.082034,0.068662,12.0,2.0,16.0,45DBP,33
0.85,-1.783609,-0.436964,1.661207,0.161531,0.029269,-0.986434,0.324477,-0.083819,0.111052,0.993585,-0.020941,0.079653,0.077496,12.0,2.0,16.0,45DBP,33
0.86,-1.983057,-0.551081,1.73263,0.157327,0.045211,-0.986511,0.369361,-0.114455,0.107025,0.992842,-0.029464,0.076657,0.086715,12.0,2.0,16.0,45DBP,33
0.87,-2.105532,-0.677961,1.857695,0.152266,0.062695,-0.986349,0.381364,-0.114987,0.11904,0.991899,-0.038704,0.07299,0.096489,12.0,2.0,16.0,45DBP,33
0.88,-2.133148,-0.794868,1.985793,0.146352,0.080806,-0.985927,0.36935,-0.087703,0.129008,0.990719,-0.048194,0.068658,0.106957,12.0,2.0,16.0,45DBP,33
0.89,-2.111496,-0.850833,2.109647,0.140053,0.098833,-0.985199,0.341896,-0.043504,0.141861,0.989276,-0.057578,0.063916,0.118034,12.0,2.0,16.0,45DBP,33
0.9,-2.091494,-0.887502,2.234885,0.13381,0.116573,-0.984127,0.312205,-0.035977,0.159679,0.987541,-0.066769,0.058979,0.129716,12.0,2.0,16.0,45DBP,33
0.91,-2.109214,-0.9281,2.336812,0.127743,0.134224,-0.982683,0.303836,-0.047753,0.169191,0.985492,-0.075861,0.053886,0.141939,12.0,2.0,16.0,45DBP,33
0.92,-2.24952,-0.975273,2.463755,0.121836,0.152561,-0.980755,0.296666,-0.06937,0.183514,0.98308,-0.085234,0.048554,0.154698,12.0,2.0,16.0,45DBP,33
0.93,-2.501806,-1.043101,2.601366,0.11609,0.172819,-0.978088,0.302886,-0.121626,0.198517,0.980187,-0.095505,0.042833,0.16816,12.0,2.0,16.0,45DBP,33
0.94,-2.79771,-1.13614,2.693224,0.110321,0.195714,-0.974436,0.315948,-0.163945,0.200937,0.976735,-0.107,0.036512,0.182226,12.0,2.0,16.0,45DBP,33
0.95,-3.098876,-1.232713,2.759776,0.104591,0.221538,-0.969526,0.31353,-0.167538,0.204084,0.972661,-0.119854,0.029527,0.196706,12.0,2.0,16.0,45DBP,33
0.96,-3.29588,-1.327128,2.758763,0.098564,0.249765,-0.963277,0.290672,-0.131174,0.238286,0.967975,-0.133754,0.02171,0.211337,12.0,2.0,16.0,45DBP,33
0.97,-3.418448,-1.333166,2.97553,0.093329,0.279294,-0.955659,0.243494,-0.071042,0.28766,0.962591,-0.148274,0.013607,0.226382,12.0,2.0,16.0,45DBP,33
0.98,-3.509914,-1.353711,3.164201,0.089672,0.309506,-0.94666,0.281437,-0.117123,0.310628,0.956334,-0.163217,0.005514,0.242394,12.0,2.0,16.0,45DBP,33
0.99,-3.520957,-1.459946,3.256639,0.086896,0.339883,-0.936445,0.338443,-0.149469,0.282316,0.9493,-0.17824,-0.002851,0.258944,12.0,2.0,16.0,45DBP,33
1.0,-3.462428,-1.544476,3.323997,0.084536,0.369664,-0.925312,0.359464,-0.12531,0.248554,0.941586,-0.192897,-0.011614,0.275812,12.0,2.0,16.0,45DBP,33
1.01,-3.317827,-1.579744,3.348895,0.082967,0.398154,-0.913559,0.334056,-0.04061,0.300385,0.933305,-0.206887,-0.020454,0.292783,12.0,2.0,16.0,45DBP,33
1.02,-3.114085,-1.563114,3.391241,0.082542,0.424624,-0.901599,0.345391,0.023038,0.310001,0.924589,-0.219904,-0.02903,0.309732,12.0,2.0,16.0,45DBP,33
1.03,-2.924367,-1.552134,3.512282,0.083667,0.448835,-0.889689,0.390699,0.034441,0.286769,0.915419,-0.231901,-0.03711,0.326883,12.0,2.0,16.0,45DBP,33
1.04,-2.779325,-1.55501,3.658021,0.086418,0.470995,-0.877893,0.397041,0.021375,0.284661,0.905682,-0.243008,-0.044728,0.344508,12.0,2.0,16.0,45DBP,33
1.05,-2.675169,-1.519152,3.75576,0.09086,0.491529,-0.866108,0.354804,0.012514,0.291707,0.895347,-0.253483,-0.051888,0.362502,12.0,2.0,16.0,45DBP,33
