secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
85.74,0.17366,0.00607,-0.206621,-0.783106,-0.476842,-0.399208,-0.05509,0.073583,-0.014473,0.830157,0.225716,-0.499448,-0.102196,18.0,3.0,13.0,MTE,22
85.75,0.13132,0.025705,-0.209539,-0.782027,-0.478985,-0.398756,-0.023103,0.038952,0.019316,0.829967,0.226831,-0.499169,-0.102632,18.0,3.0,13.0,MTE,22
85.76,0.067955,-0.01989,-0.196038,-0.780819,-0.481186,-0.398475,0.016796,-0.015182,0.000983,0.829799,0.227843,-0.498849,-0.103297,18.0,3.0,13.0,MTE,22
85.77,0.007468,-0.074864,-0.211113,-0.779847,-0.483134,-0.39802,0.036836,-0.050039,-0.019965,0.829551,0.228563,-0.498747,-0.104185,18.0,3.0,13.0,MTE,22
85.78,-0.077784,-0.086422,-0.205513,-0.778903,-0.484791,-0.397853,0.03133,-0.044475,-8.1e-05,0.829357,0.228944,-0.498656,-0.105321,18.0,3.0,13.0,MTE,22
85.79,-0.131772,-0.057212,-0.205136,-0.778025,-0.486124,-0.397946,0.017802,-0.021811,0.022046,0.829225,0.229039,-0.498566,-0.10658,18.0,3.0,13.0,MTE,22
85.8,-0.108218,-0.073376,-0.214754,-0.777517,-0.487303,-0.397496,0.007589,-0.002138,0.005848,0.828933,0.229079,-0.498773,-0.107785,18.0,3.0,13.0,MTE,22
85.81,-0.05183,-0.078645,-0.18485,-0.777569,-0.487758,-0.396836,0.015805,0.00973,0.027924,0.828626,0.228883,-0.499194,-0.108616,18.0,3.0,13.0,MTE,22
85.82,0.007264,-0.032218,-0.140913,-0.777771,-0.487615,-0.396615,0.011215,0.031378,0.057992,0.828508,0.228563,-0.499451,-0.109003,18.0,3.0,13.0,MTE,22
85.83,0.080039,-0.007802,-0.173151,-0.777559,-0.488417,-0.396045,-0.011931,0.04814,0.018924,0.828293,0.228892,-0.499586,-0.109329,18.0,3.0,13.0,MTE,22
85.84,0.077877,0.013588,-0.207084,-0.776492,-0.490387,-0.395703,-0.013273,0.031357,0.005475,0.828106,0.229781,-0.499349,-0.109965,18.0,3.0,13.0,MTE,22
85.85,0.04319,0.011252,-0.209449,-0.774932,-0.492759,-0.395814,-0.001359,-0.008904,-0.00183,0.82802,0.230764,-0.49884,-0.110862,18.0,3.0,13.0,MTE,22
85.86,-0.009313,-0.013924,-0.18958,-0.773674,-0.494784,-0.395749,0.019417,-0.041242,-0.009433,0.827875,0.231511,-0.498526,-0.111789,18.0,3.0,13.0,MTE,22
85.87,-0.095977,-0.026492,-0.199191,-0.772763,-0.496226,-0.395723,0.024686,-0.043614,-0.006865,0.827734,0.231849,-0.498382,-0.112772,18.0,3.0,13.0,MTE,22
85.88,-0.152407,-0.040563,-0.219093,-0.771905,-0.497305,-0.396044,0.020928,-0.025522,-0.012312,0.827666,0.231815,-0.498236,-0.113975,18.0,3.0,13.0,MTE,22
85.89,-0.191966,-0.053523,-0.237351,-0.771077,-0.498319,-0.396382,0.013005,-0.012561,-0.004268,0.827576,0.231629,-0.498154,-0.115364,18.0,3.0,13.0,MTE,22
85.9,-0.131369,-0.106724,-0.213719,-0.770805,-0.499084,-0.395948,0.014824,-0.010224,0.016385,0.827265,0.231358,-0.498498,-0.116646,18.0,3.0,13.0,MTE,22
85.91,-0.059839,-0.051291,-0.149055,-0.770969,-0.499156,-0.395539,0.017871,0.007563,0.07399,0.827035,0.230958,-0.498888,-0.117395,18.0,3.0,13.0,MTE,22
85.92,0.049978,-0.020402,-0.171843,-0.770754,-0.499695,-0.395276,-0.012632,0.051651,0.042905,0.826888,0.231021,-0.49899,-0.117875,18.0,3.0,13.0,MTE,22
85.93,0.11152,0.020013,-0.241407,-0.769729,-0.501635,-0.394816,-0.024735,0.060763,0.002833,0.826659,0.231905,-0.498811,-0.118505,18.0,3.0,13.0,MTE,22
85.94,0.099328,0.039078,-0.250194,-0.76798,-0.504451,-0.394634,-0.00796,0.022792,0.003704,0.826476,0.233196,-0.498299,-0.119395,18.0,3.0,13.0,MTE,22
85.95,0.045532,0.00443,-0.237902,-0.766313,-0.507061,-0.394529,0.01671,-0.032917,-0.019732,0.826306,0.23432,-0.497825,-0.120344,18.0,3.0,13.0,MTE,22
85.96,-0.045019,-0.030636,-0.213845,-0.765054,-0.508932,-0.394565,0.028817,-0.058817,-0.01846,0.82617,0.234929,-0.49752,-0.121351,18.0,3.0,13.0,MTE,22
85.97,-0.119388,-0.035152,-0.19724,-0.764093,-0.510192,-0.394799,0.022394,-0.047806,0.00367,0.826076,0.235077,-0.497332,-0.122463,18.0,3.0,13.0,MTE,22
85.98,-0.135771,-0.045009,-0.203619,-0.763241,-0.511255,-0.395071,0.003262,-0.024893,-2.5e-05,0.825978,0.235038,-0.497214,-0.123672,18.0,3.0,13.0,MTE,22
85.99,-0.105484,-0.059704,-0.202726,-0.762707,-0.512387,-0.394637,-0.005619,-0.005557,0.011,0.825671,0.235077,-0.497414,-0.12484,18.0,3.0,13.0,MTE,22
86.0,-0.009784,-0.055575,-0.159209,-0.76261,-0.512952,-0.394089,0.00466,0.00659,0.037934,0.825395,0.235014,-0.497719,-0.125566,18.0,3.0,13.0,MTE,22
86.01,0.080964,-0.024038,-0.142772,-0.762529,-0.513385,-0.393681,0.012483,0.02457,0.043782,0.825226,0.23512,-0.497874,-0.125867,18.0,3.0,13.0,MTE,22
86.02,0.118042,0.001146,-0.182911,-0.761978,-0.514665,-0.393077,0.010635,0.038148,0.00819,0.824997,0.235779,-0.497865,-0.12617,18.0,3.0,13.0,MTE,22
86.03,0.100256,0.01528,-0.213834,-0.760654,-0.516846,-0.39278,0.009662,0.013413,-0.009869,0.824808,0.23682,-0.49752,-0.126813,18.0,3.0,13.0,MTE,22
86.04,0.048984,0.019702,-0.202596,-0.759107,-0.519198,-0.39267,0.012784,-0.037625,-0.014618,0.824648,0.237867,-0.497076,-0.127631,18.0,3.0,13.0,MTE,22
86.05,-0.031723,0.004715,-0.17571,-0.757878,-0.520982,-0.392682,0.012975,-0.069716,-0.013172,0.824522,0.238529,-0.496753,-0.128472,18.0,3.0,13.0,MTE,22
86.06,-0.11624,-0.016013,-0.140314,-0.757036,-0.521948,-0.393022,0.010698,-0.060602,-0.001936,0.824489,0.238634,-0.496531,-0.129344,18.0,3.0,13.0,MTE,22
86.07,-0.145128,-0.007417,-0.135374,-0.756437,-0.522424,-0.393544,0.005948,-0.03382,0.016988,0.824508,0.238408,-0.496376,-0.130228,18.0,3.0,13.0,MTE,22
86.08,-0.14593,0.00435,-0.14382,-0.755872,-0.522862,-0.394047,0.003782,-0.010616,0.015064,0.824519,0.238156,-0.496244,-0.131118,18.0,3.0,13.0,MTE,22
86.09,-0.112107,-0.051355,-0.147337,-0.755489,-0.523272,-0.394238,0.010494,-0.002348,0.002682,0.824438,0.237902,-0.49627,-0.131985,18.0,3.0,13.0,MTE,22
86.1,-0.009582,-0.076365,-0.093714,-0.755422,-0.523489,-0.394077,0.026235,-0.00506,0.030353,0.824292,0.237678,-0.496458,-0.132596,18.0,3.0,13.0,MTE,22
86.11,0.080206,-0.01673,-0.084973,-0.755209,-0.524035,-0.39376,0.016333,0.012331,0.047385,0.824156,0.23789,-0.496516,-0.132844,18.0,3.0,13.0,MTE,22
86.12,0.131298,0.017794,-0.165066,-0.754295,-0.525724,-0.39326,-0.017052,0.027051,-0.007008,0.823948,0.238795,-0.496333,-0.133191,18.0,3.0,13.0,MTE,22
86.13,0.084975,0.052578,-0.172337,-0.752774,-0.528171,-0.392894,-0.005969,-0.001584,-0.001073,0.823735,0.240029,-0.495922,-0.133822,18.0,3.0,13.0,MTE,22
86.14,0.029252,0.034728,-0.121722,-0.751531,-0.529998,-0.392815,0.02628,-0.050309,0.014046,0.82362,0.2409,-0.49554,-0.134377,18.0,3.0,13.0,MTE,22
86.15,-0.030317,0.007149,-0.093961,-0.750821,-0.531038,-0.392769,0.046628,-0.067717,0.008552,0.823532,0.241314,-0.495362,-0.134828,18.0,3.0,13.0,MTE,22
